tracking_number,ship_date,????,????id,???,???,???
{61290989800520981415},5/26/2020,6/12/2020 4:12,1688,7.9,7.9,8.42
{61290989800521284867},6/18/2020,7/3/2020 5:45,1768,6.18,6.18,6.18
{61290989800520969147},5/25/2020,6/12/2020 2:11,1677,6.27,6.27,6.28
{61290989800520740371},5/15/2020,7/3/2020 3:00,1764,7.57,7.57,7.08
{61290989800520645508},5/6/2020,5/25/2020 8:04,1631,6.88,6.88,7.85
{61290989800520727617},5/14/2020,5/29/2020 6:06,1649,7.18,7.18,7.18
{61290989800520546447},4/28/2020,5/25/2020 7:28,1630,5.42,5.42,5.4
{61290989800520584753},5/1/2020,5/25/2020 7:30,1631,5.38,5.38,5.99
{61290989800520582117},5/1/2020,5/25/2020 7:33,1630,5.72,5.72,5.99
{61290989800520994231},5/27/2020,6/12/2020 1:47,1677,5.7,5.7,5.7
{61290989800520512527},4/24/2020,5/8/2020 0:48,1577,7.18,7.18,6.74
{61290989800520701136},5/12/2020,5/29/2020 5:54,1649,5.37,5.37,5.37
{61290989800521022414},5/30/2020,6/28/2020 2:25,1711,5.85,5.85,5.42
{61290989800520544931},4/28/2020,5/25/2020 8:06,1630,5.72,5.72,5.72
{61290989800521275544},6/17/2020,7/3/2020 2:58,1764,5.92,5.92,5.92
{61290989800521299984},6/22/2020,7/3/2020 5:43,1768,6.92,6.92,7.89
{61290989800521278590},6/17/2020,7/3/2020 3:01,1764,7.01,7.01,7.01
{61290989800520647113},5/6/2020,5/25/2020 7:35,1631,5.7,5.7,5.7
{61290989800520580977},5/1/2020,5/25/2020 7:55,1631,6.2,6.2,5.99
{61290989800520965699},5/25/2020,6/12/2020 3:59,1688,7.6,7.6,8.57
{61290989800520522212},4/26/2020,5/8/2020 0:53,1577,6.89,6.89,6.88
{61290989800520619066},5/4/2020,5/25/2020 7:35,1631,7.38,7.38,8.18
{61290989800520948531},5/22/2020,6/5/2020 2:16,1663,6.78,6.78,5.98
{61290989800521298109},6/22/2020,7/3/2020 5:49,1768,7.74,7.74,7.76
{61290989800520685498},5/11/2020,5/29/2020 5:46,1649,5.8,5.8,5.77
{61290989800520569293},4/30/2020,5/25/2020 8:06,1630,5.38,5.38,5.99
{61290989800521108941},6/11/2020,6/28/2020 2:42,1711,7.03,7.03,7.99
{61290989800521056426},6/4/2020,6/28/2020 2:31,1711,5.7,5.7,5.7
{61290989800521296440},6/21/2020,7/3/2020 5:42,1768,6.34,6.34,6.47
{61290989800520890960},5/18/2020,5/29/2020 6:14,1649,6.3,5.7,6.27
{61290989800521005615},5/28/2020,6/12/2020 1:44,1677,7.5,7.5,7.24
{61290989800520922845},5/20/2020,6/28/2020 4:06,1714,5.7,5.7,5.7
{61290989800521255706},6/15/2020,7/3/2020 3:02,1764,6.19,6.19,6.19
{61290989800520948593},5/22/2020,6/28/2020 4:04,1714,5.7,5.7,5.7
{61290989800521061925},6/5/2020,6/28/2020 2:24,1711,6.19,6.19,5.7
{61290989800520922777},5/20/2020,6/19/2020 2:38,1698,6.88,6.88,6.87
{61290989800521274943},6/17/2020,7/3/2020 3:01,1764,5.92,5.92,5.92
{61290989800520647281},5/6/2020,5/29/2020 5:32,1649,5.37,5.37,5.37
{61290989800521056181},6/4/2020,7/3/2020 2:57,1764,6.19,6.19,5.7
{61290989800520887922},5/18/2020,6/28/2020 3:12,1712,7.43,6.75,6.27
{61290989800520931854},5/21/2020,6/5/2020 2:16,1663,5.37,5.37,5.37
{61290989800521079104},6/8/2020,6/28/2020 2:23,1711,6.19,6.19,6.19
{61290989800521057898},6/4/2020,6/19/2020 2:39,1698,5.37,5.37,5.37
{61290989800520641371},5/6/2020,6/28/2020 2:28,1711,7.36,7.36,7.85
{61290989800520889391},5/18/2020,5/29/2020 6:14,1649,5.97,5.4,5.93
{61290989800520627542},5/5/2020,5/25/2020 7:29,1631,5.37,5.37,5.42
{61290989800520925518},5/20/2020,6/5/2020 2:27,1663,5.7,5.7,5.7
{61290989800520603386},5/4/2020,5/29/2020 5:27,1649,5.7,5.7,5.7
{61290989800520740647},5/15/2020,5/29/2020 6:10,1649,6.43,6.43,5.61
{61290989800520996525},5/27/2020,6/12/2020 1:35,1677,5.61,5.61,7.14
{61290989800521300482},6/22/2020,7/3/2020 5:47,1768,5.48,5.48,5.48
{61290989800521049725},6/3/2020,7/3/2020 2:58,1764,5.85,5.85,5.37
{61290989800521093780},6/9/2020,7/3/2020 3:08,1764,6.19,6.19,6.19
{61290989800521290110},6/19/2020,7/3/2020 5:48,1768,5.63,5.63,5.62
{61290989800520503693},4/23/2020,5/8/2020 0:41,1577,5.38,5.38,5.38
{61290989800520528566},4/27/2020,5/25/2020 7:38,1630,5.62,5.62,5.62
{61290989800520889940},5/18/2020,5/29/2020 6:14,1649,6.3,5.7,6.27
{61290989800520603416},5/4/2020,5/25/2020 7:41,1631,5.4,5.4,5.39
{61290989800520510561},4/24/2020,5/8/2020 0:55,1577,5.38,5.38,5.38
{61290989800520665674},5/8/2020,5/29/2020 5:37,1649,6.54,6.54,7.51
{61290989800520570169},4/30/2020,5/25/2020 7:47,1631,6.73,6.73,6.92
{61290989800520545778},4/28/2020,5/25/2020 7:48,1630,5.72,5.72,5.72
{61290989800521014488},5/29/2020,6/12/2020 1:42,1677,6.88,6.88,6.87
{61290989800521122428},6/13/2020,7/3/2020 3:02,1764,6.19,6.19,6.19
{61290989800520933544},5/21/2020,6/28/2020 4:06,1714,7.44,7.44,8.42
{61290989800520889681},5/18/2020,5/29/2020 6:14,1649,5.97,5.4,5.93
{61290989800520548533},4/28/2020,5/25/2020 8:00,1630,7.75,7.75,7.92
{61290989800520643924},5/6/2020,6/12/2020 1:43,1677,5.4,5.4,5.39
{61290989800521297942},6/22/2020,7/3/2020 5:41,1768,5.8,5.8,5.8
{61290989800520895132},5/18/2020,6/28/2020 4:20,1714,6.03,6.03,5.39
{61290989800520668989},5/8/2020,5/25/2020 7:47,1631,7.07,7.07,6.73
{61290989800520985581},5/26/2020,6/19/2020 2:33,1698,6.27,6.27,6.28
{61290989800520627894},5/5/2020,5/25/2020 7:38,1631,5.61,5.61,5.42
{61290989800520643986},5/6/2020,5/25/2020 8:04,1631,5.37,5.37,5.37
{61290989800521029642},6/1/2020,6/19/2020 2:24,1698,5.89,5.89,5.39
{61290989800520878029},5/16/2020,6/5/2020 1:51,1663,7.45,6.84,7.4
{61290989800521039818},6/2/2020,6/19/2020 2:39,1698,5.7,5.7,5.7
{61290989800520656801},5/7/2020,5/29/2020 5:35,1649,6.88,6.88,7.85
{61290989800521079678},6/8/2020,6/28/2020 2:28,1711,5.89,5.89,5.88
{61290989800521291858},6/19/2020,7/3/2020 5:47,1768,5.92,5.92,5.92
{61290989800520887915},5/18/2020,6/28/2020 3:12,1712,6.81,6.19,6.27
{61290989800520906319},5/19/2020,6/28/2020 3:44,1714,5.41,5.41,5.39
"{393273284862,393273285479,393273286567,393273287118,393273287770,393273289511,393273289853,393273291143,393273293010,393273293915,393273294668,393273296156}",5/27/2020,6/12/2020 1:57,1677,90.61,90.61,101.5
{61290989800520878616},5/16/2020,6/5/2020 2:13,1663,6.27,5.7,6.27
{61290989800521062076},6/5/2020,6/19/2020 2:36,1698,5.7,5.7,5.7
{61290989800520665902},5/8/2020,5/25/2020 7:26,1631,5.7,5.7,5.7
{61290989800520948999},5/22/2020,6/5/2020 2:06,1663,8.33,8.33,7.65
{61290989800520645638},5/6/2020,5/25/2020 7:58,1631,6.88,6.88,7.85
{61290989800520923392},5/20/2020,6/5/2020 2:25,1663,5.37,5.37,5.37
{61290989800521014402},5/29/2020,6/12/2020 1:44,1677,5.4,5.4,5.39
{61290989800520628723},5/5/2020,5/25/2020 7:53,1630,6.84,6.84,6.9
{61290989800521052503},6/3/2020,6/19/2020 2:33,1698,6.84,6.84,7.04
{61290989800520657174},5/7/2020,5/29/2020 5:35,1649,6.88,6.88,7.85
{61290989800520659390},5/7/2020,5/25/2020 7:57,1631,8.33,8.33,7.65
"{393304007791,393304008916,393304009728,393304011257,393304012070,393304013065,393304013890,393304015399,393304016260,393304018148,393304019453,393304020207,393304021258,393304022839,393304023191,393304024327,393304026363,393304027451,393304028675,393304030366}",5/28/2020,6/28/2020 2:36,1711,139.2,139.2,139.08
{61290989800521116373},6/12/2020,6/28/2020 3:16,1712,6.19,6.19,6.19
{61290989800521062632},6/5/2020,6/19/2020 2:23,1698,5.7,5.7,5.7
{61290989800520524285},4/26/2020,5/25/2020 8:02,1630,5.72,5.72,5.72
{61290989800520685184},5/11/2020,5/29/2020 5:46,1649,5.7,5.7,5.7
{61290989800520685528},5/11/2020,5/29/2020 5:46,1649,6.88,6.88,7.85
{61290989800520889377},5/18/2020,6/28/2020 4:18,1714,6.3,5.7,6.27
{61290989800521262223},6/15/2020,7/3/2020 5:52,1768,7.57,7.57,6.72
{61290989800520666657},5/8/2020,5/25/2020 7:47,1631,5.37,5.37,5.37
{61290989800521267228},6/16/2020,6/28/2020 3:17,1712,5.63,5.63,5.62
{61290989800521255300},6/15/2020,6/28/2020 3:16,1712,5.89,5.89,5.88
{61290989800521116847},6/12/2020,6/28/2020 2:43,1711,6.28,6.28,6.26
{61290989800520660303},5/7/2020,6/5/2020 1:51,1663,5.37,5.37,5.37
{61290989800520643634},5/6/2020,5/25/2020 7:57,1631,5.37,5.37,5.37
