"{392935260455,392935261110,392935260834,392935261175,392935261793,392935261370,392935262296,392935261874,392935262355,392935262274,392935263292,392935263215,392935263605,392935263362,392935263899,392935263855,392935264520,392935264472,392935264851}",2020-05-17,2020-06-19,1699,112.5,112.5,112.40
{61290989800521117646},2020-06-12,2020-06-28,1712,7.45,7.45,8.65
{61290989800520981415},2020-05-26,2020-06-12,1688,7.9,7.9,8.42
{61290989800521284867},2020-06-18,2020-07-03,1768,6.18,6.18,6.18
{61290989800520969147},2020-05-25,2020-06-12,1677,6.27,6.27,6.28
{61290989800520740371},2020-05-15,2020-07-03,1764,7.57,7.57,7.08
{61290989800520645508},2020-05-06,2020-05-25,1631,6.88,6.88,7.85
{61290989800520727617},2020-05-14,2020-05-29,1649,7.18,7.18,7.18
{61290989800520546447},2020-04-28,2020-05-25,1630,5.42,5.42,5.40
{61290989800520584753},2020-05-01,2020-05-25,1631,5.38,5.38,5.99
{61290989800520582117},2020-05-01,2020-05-25,1630,5.72,5.72,5.99
{61290989800520994231},2020-05-27,2020-06-12,1677,5.7,5.7,5.70
{61290989800520512527},2020-04-24,2020-05-08,1577,7.18,7.18,6.74
{61290989800520701136},2020-05-12,2020-05-29,1649,5.37,5.37,5.37
{61290989800521022414},2020-05-30,2020-06-28,1711,5.85,5.85,5.42
{61290989800520544931},2020-04-28,2020-05-25,1630,5.72,5.72,5.72
{61290989800521275544},2020-06-17,2020-07-03,1764,5.92,5.92,5.92
{61290989800521299984},2020-06-22,2020-07-03,1768,6.92,6.92,7.89
{61290989800521278590},2020-06-17,2020-07-03,1764,7.01,7.01,7.01
{61290989800520647113},2020-05-06,2020-05-25,1631,5.7,5.7,5.70
{61290989800520580977},2020-05-01,2020-05-25,1631,6.2,6.2,5.99
{61290989800520965699},2020-05-25,2020-06-12,1688,7.6,7.6,8.57
{61290989800520522212},2020-04-26,2020-05-08,1577,6.89,6.89,6.88
{61290989800520619066},2020-05-04,2020-05-25,1631,7.38,7.38,8.18
{61290989800520948531},2020-05-22,2020-06-05,1663,6.78,6.78,5.98
{61290989800521298109},2020-06-22,2020-07-03,1768,7.74,7.74,7.76
{61290989800520685498},2020-05-11,2020-05-29,1649,5.8,5.8,5.77
{61290989800520569293},2020-04-30,2020-05-25,1630,5.38,5.38,5.99
{61290989800521108941},2020-06-11,2020-06-28,1711,7.03,7.03,7.99
{61290989800521056426},2020-06-04,2020-06-28,1711,5.7,5.7,5.70
{61290989800521296440},2020-06-21,2020-07-03,1768,6.34,6.34,6.47
{61290989800520890960},2020-05-18,2020-05-29,1649,6.3,5.7,6.27
{61290989800521005615},2020-05-28,2020-06-12,1677,7.5,7.5,7.24
{61290989800520922845},2020-05-20,2020-06-28,1714,5.7,5.7,5.70
{61290989800521255706},2020-06-15,2020-07-03,1764,6.19,6.19,6.19
{61290989800520948593},2020-05-22,2020-06-28,1714,5.7,5.7,5.70
{61290989800521061925},2020-06-05,2020-06-28,1711,6.19,6.19,5.70
{61290989800520922777},2020-05-20,2020-06-19,1698,6.88,6.88,6.87
{61290989800521274943},2020-06-17,2020-07-03,1764,5.92,5.92,5.92
{61290989800520647281},2020-05-06,2020-05-29,1649,5.37,5.37,5.37
{61290989800521056181},2020-06-04,2020-07-03,1764,6.19,6.19,5.70
{61290989800520887922},2020-05-18,2020-06-28,1712,7.43,6.75,6.27
{61290989800520931854},2020-05-21,2020-06-05,1663,5.37,5.37,5.37
{61290989800521079104},2020-06-08,2020-06-28,1711,6.19,6.19,6.19
{61290989800521057898},2020-06-04,2020-06-19,1698,5.37,5.37,5.37
{61290989800520641371},2020-05-06,2020-06-28,1711,7.36,7.36,7.85
{61290989800520889391},2020-05-18,2020-05-29,1649,5.97,5.4,5.93
{61290989800520627542},2020-05-05,2020-05-25,1631,5.37,5.37,5.42
{61290989800520925518},2020-05-20,2020-06-05,1663,5.7,5.7,5.70
{61290989800520603386},2020-05-04,2020-05-29,1649,5.7,5.7,5.70
{61290989800520740647},2020-05-15,2020-05-29,1649,6.43,6.43,5.61
{61290989800520996525},2020-05-27,2020-06-12,1677,5.61,5.61,7.14
{61290989800521300482},2020-06-22,2020-07-03,1768,5.48,5.48,5.48
{61290989800521049725},2020-06-03,2020-07-03,1764,5.85,5.85,5.37
{61290989800521093780},2020-06-09,2020-07-03,1764,6.19,6.19,6.19
{61290989800521290110},2020-06-19,2020-07-03,1768,5.63,5.63,5.62
{61290989800520503693},2020-04-23,2020-05-08,1577,5.38,5.38,5.38
{61290989800520528566},2020-04-27,2020-05-25,1630,5.62,5.62,5.62
{61290989800520889940},2020-05-18,2020-05-29,1649,6.3,5.7,6.27
{61290989800520603416},2020-05-04,2020-05-25,1631,5.4,5.4,5.39
{61290989800520510561},2020-04-24,2020-05-08,1577,5.38,5.38,5.38
{61290989800520665674},2020-05-08,2020-05-29,1649,6.54,6.54,7.51
{61290989800520570169},2020-04-30,2020-05-25,1631,6.73,6.73,6.92
{61290989800520545778},2020-04-28,2020-05-25,1630,5.72,5.72,5.72
{61290989800521014488},2020-05-29,2020-06-12,1677,6.88,6.88,6.87
{61290989800521122428},2020-06-13,2020-07-03,1764,6.19,6.19,6.19
{61290989800520933544},2020-05-21,2020-06-28,1714,7.44,7.44,8.42
{61290989800520889681},2020-05-18,2020-05-29,1649,5.97,5.4,5.93
{61290989800520548533},2020-04-28,2020-05-25,1630,7.75,7.75,7.92
{61290989800520643924},2020-05-06,2020-06-12,1677,5.4,5.4,5.39
{61290989800521297942},2020-06-22,2020-07-03,1768,5.8,5.8,5.80
{61290989800520895132},2020-05-18,2020-06-28,1714,6.03,6.03,5.39
{61290989800520668989},2020-05-08,2020-05-25,1631,7.07,7.07,6.73
{61290989800520985581},2020-05-26,2020-06-19,1698,6.27,6.27,6.28
{61290989800520627894},2020-05-05,2020-05-25,1631,5.61,5.61,5.42
{61290989800520643986},2020-05-06,2020-05-25,1631,5.37,5.37,5.37
{61290989800521029642},2020-06-01,2020-06-19,1698,5.89,5.89,5.39
{61290989800520878029},2020-05-16,2020-06-05,1663,7.45,6.84,7.40
{61290989800521039818},2020-06-02,2020-06-19,1698,5.7,5.7,5.70
{61290989800520656801},2020-05-07,2020-05-29,1649,6.88,6.88,7.85
{61290989800521079678},2020-06-08,2020-06-28,1711,5.89,5.89,5.88
{61290989800521291858},2020-06-19,2020-07-03,1768,5.92,5.92,5.92
{61290989800520887915},2020-05-18,2020-06-28,1712,6.81,6.19,6.27
{61290989800520906319},2020-05-19,2020-06-28,1714,5.41,5.41,5.39
"{393273284862,393273285479,393273286567,393273287118,393273287770,393273289511,393273289853,393273291143,393273293010,393273293915,393273294668,393273296156}",2020-05-27,2020-06-12,1677,90.61,90.61,101.50
{61290989800520878616},2020-05-16,2020-06-05,1663,6.27,5.7,6.27
{61290989800521062076},2020-06-05,2020-06-19,1698,5.7,5.7,5.70
{61290989800520665902},2020-05-08,2020-05-25,1631,5.7,5.7,5.70
{61290989800520948999},2020-05-22,2020-06-05,1663,8.33,8.33,7.65
{61290989800520645638},2020-05-06,2020-05-25,1631,6.88,6.88,7.85
